Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,"[1624, 2802, 3525, 94, 414, 4323, 4270, 166]",14895,16800,1905,15.125987034058197,,,1,800,5,40,5,50,7,,2,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 94, 414, 4323, 4270, 166]",14895,16800,1905,2.052674440201372,,,1,800,5,40,5,50,7,,2,5
partition_matroid_greedy,"[1624, 2802, 3525]",9450,9600,150,10.854014853946863,,,1,800,5,40,5,50,7,,3,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525]",9450,9600,150,1.639798865886405,,,1,800,5,40,5,50,7,,3,1
partition_matroid_greedy,"[1624, 2802, 3525, 418, 3234, 4270]",12995,14400,1405,10.579722163034603,,,1,800,5,40,5,50,7,,3,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 418, 3234, 4270]",12995,14400,1405,1.8964248539414257,,,1,800,5,40,5,50,7,,3,2
partition_matroid_greedy,"[1624, 2802, 3525, 3196, 2609, 4323, 4270, 4517, 2180]",14595,17600,3005,11.030951170949264,,,1,800,5,40,5,50,7,,3,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 3196, 2609, 4323, 4270, 4517, 2180]",14595,17600,3005,1.6712173488922415,,,1,800,5,40,5,50,7,,3,3
partition_matroid_greedy,"[1624, 2802, 3525, 9, 94, 1897, 2210, 4270, 955]",16585,18400,1815,20.987720065051693,,,1,800,5,40,5,50,7,,3,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 9, 94, 1897, 2210, 4270, 955]",16585,18400,1815,1.737974112853408,,,1,800,5,40,5,50,7,,3,4
partition_matroid_greedy,"[1624, 2802, 3525, 9, 94, 1897, 2210, 4270, 596, 772, 1160, 166]",18170,20800,2630,14.140944743994625,,,1,800,5,40,5,50,7,,3,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 9, 94, 1897, 2210, 596, 772, 1160, 4270, 166]",18170,20800,2630,1.9736789581365883,,,1,800,5,40,5,50,7,,3,5
partition_matroid_greedy,"[1624, 2802, 3525, 9]",11025,11200,175,9.967014461988583,,,1,800,5,40,5,50,7,,4,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 9]",11025,11200,175,1.829964121803641,,,1,800,5,40,5,50,7,,4,1
partition_matroid_greedy,"[1624, 2802, 3525, 9, 418, 3234, 4270, 955]",15085,16800,1715,10.285521223908288,,,1,800,5,40,5,50,7,,4,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 9, 418, 3234, 4270, 955]",15085,16800,1715,1.9919766280800104,,,1,800,5,40,5,50,7,,4,2
partition_matroid_greedy,"[1624, 2802, 3525, 9, 3196, 2609, 4270, 1503, 619, 4517, 4349]",16140,19200,3060,21.93721593986265,,,1,800,5,40,5,50,7,,4,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2802, 3525, 9, 3196, 2609, 1503, 619, 4270, 4517]",16140,18400,2260,1.5712713850662112,,,1,800,5,40,5,50,7,,4,3
